,Adj_Close,Close,High,Low,Open,Volume
2004-07-15,25.6842,47.3802,47.3802,46.8052,47.1502,1748900
2004-07-16,25.5595,47.1502,47.6101,47.1502,47.2652,2544400
2004-07-19,25.6842,47.3802,47.3802,46.9202,47.1502,1332100
2004-07-20,25.4349,46.9202,47.7252,46.9202,47.3802,2795600
2004-07-21,25.5594,44.9048,45.2333,44.6858,45.2333,1258000
2004-07-22,25.5594,44.9048,45.0143,44.138000000000005,44.3571,5771600
2004-07-23,25.5594,44.9048,45.2333,44.7952,45.2333,3952200
2004-07-26,25.6218,45.0143,45.2333,44.9048,45.1239,3119400
2004-07-27,26.1204,45.8904,46.0,45.0143,45.3428,4348700
2004-07-28,26.4321,46.4381,47.3143,45.8904,46.0,5606100
2004-07-29,25.9958,45.6715,46.4381,45.5619,46.4381,2455600
2004-07-30,26.1204,45.8904,46.2191,45.781000000000006,46.0,2715200
2004-08-02,25.4971,44.7952,45.6715,44.5762,45.6715,1897600
2004-08-03,25.5594,44.9048,45.2333,44.7952,44.7952,2372300
2004-08-04,25.9958,45.6715,46.0,44.7952,44.9048,2579200
2004-08-05,26.6192,46.7667,47.6428,45.6715,45.6715,4680800
2004-08-06,26.6192,46.7667,46.8763,46.3286,46.7667,1924700
2004-08-09,26.3699,46.3286,46.6572,46.0,46.3286,1031700
2004-08-10,26.3699,46.3286,46.9857,46.2191,46.3286,1919100
2004-08-11,26.3075,46.2191,47.0952,46.1095,46.8763,3790200
2004-08-12,26.2452,46.1095,46.3286,46.0,46.0,1192900
2004-08-13,26.4321,46.4381,46.5476,45.8904,46.0,1054500
2004-08-16,26.3075,46.2191,46.4381,45.8904,46.0,891200
2004-08-17,26.1828,46.0,46.2191,45.8904,46.2191,1100700
2004-08-18,26.8062,47.0952,47.0952,46.0,46.0,2759400
2004-08-19,27.491999999999997,48.3,48.7381,47.3143,47.5333,5690600
2004-08-20,27.1803,47.7524,48.3,47.6428,48.1905,4189200
2004-08-23,27.0555,47.5333,47.9715,47.2048,47.2048,1471400
2004-08-26,27.1179,47.6428,48.4096,47.5333,47.6428,6818900
2004-08-27,26.9309,47.3143,48.1905,47.0952,47.0952,3203700
2004-08-30,27.1179,47.6428,47.7524,47.2048,47.3143,3431800
2004-08-31,27.1803,47.7524,48.4096,47.5333,47.6428,4116400
2004-09-01,27.305,47.9715,48.4096,47.7524,47.9715,1872200
2004-09-02,27.305,47.9715,48.5191,47.9715,48.1905,1853300
